The Life of Greece - Volume 2,read,32.699997,Will Durant,Stefan Rudnicki,Non-Fiction,2016,2017,u,The Story Of Civilization,5
Caesar and Christ - Volume 3,read,36.516670,Will Durant,Grover Gardner,Non-Fiction,2016,2017,u,The Story Of Civilization,5
The Age of Faith - Volume 4,unread,61.349998,Will Durant,Stefan Rudnicki,Non-Fiction,2016,,u,The Story Of Civilization,
The Renaissance - Volume 5,unread,37.116665,Will Durant,Grover Gardner,Non-Fiction,2016,,u,The Story Of Civilization,
The Reformation - Volume 6,unread,50.133335,Will Durant,Stefan Rudnicki,Non-Fiction,2016,,u,The Story Of Civilization,
The Age of Reason Begins - Volume 7,unread,34.833332,Will Durant,Grover Gardner,Non-Fiction,2016,,u,The Story Of Civilization,
The Age of Louis XIV - Volume 8,unread,36.466663,Will Durant,Stefan Rudnicki,Non-Fiction,2016,,u,The Story Of Civilization,
The Age of Voltaire - Volume 9,unread,42.916664,Will Durant,Grover Gardner,Non-Fiction,2016,,u,The Story Of Civilization,
Rousseau and Revolution - Volume 10,unread,57.450001,Will Durant,Stefan Rudnicki,Non-Fiction,2016,,u,The Story Of Civilization,
The Age of Napoleon - Volume 11,unread,44.516670,Will Durant,Stefan Rudnicki,Non-Fiction,2016,,u,The Story Of Civilization,
Train,read,12.200000,Tom Zoellner,Grover Gardner,Non-Fiction,2016,2016,u,,5
Jurassic Park,unread,15.150001,Michael Crichton,Scott Brick,Fiction,2016,,u,Jurassic Park,
The Reality Dysfunction,unread,41.183334,Peter F. Hamilton,John Lee,Fiction,2016,,u,Nights Dawn,
Misspent Youth,unread,12.700000,Peter F. Hamilton,Steven Crossley,Fiction,2016,,u,Commonwealth Saga,
One Minute To Midnight,read,16.383333,Michael Dobbs,Bob Walter,Fiction,2016,2017,u,The Cold War,3
The Men Who Stare at Goats,read,6.666667,Jon Ronson,Jon Ronson,Non-Fiction,2016,2016,u,,5
The Brain Electric,read,8.583334,Malcolm Gay,Patrick Lawlor,Non-Fiction,2016,2016,u,,4
The Neutronium Alchemist,unread,40.349998,Peter F. Hamilton,John Lee,Fiction,2016,,u,Nights Dawn,
Bucky Fucking Dent,read,6.300000,David Duchovny,David Duchovny,Fiction,2016,2016,u,,5
Half-Earth,read,6.850000,Edward O.Wilson,Jonathan Hogan,Non-Fiction,2016,2016,u,,5
Blind Faith,unread,10.100000,Ben Elton,Glen McCready,Fiction,2016,,u,,
What the F,read,8.750000,Benjamin K. Bergen,Benjamin K. Bergen,Non-Fiction,2016,2016,u,,4
A Short History Of Nearly Everything - Abridged,read,5.650000,Bill Bryson,Bill Bryson,Non-Fiction,2016,2016,a,,6
A Life in Parts,unread,8.866668,Bryan Cranston,Bryan Cranston,Non-Fiction,2016,,u,Memoirs,
Kitchen Confidential,unread,8.000000,Anthony Bourdain,Anthony Bourdain,Non-Fiction,2016,,u,Memoirs,
The Elephant in the Room,read,1.800000,Jon Ronson,Jon Ronson,Non-Fiction,2016,2016,u,,5
Zombie Spaceship Wasteland,read,3.516667,Patton Oswalt,Patton Oswalt,Non-Fiction,2016,2016,u,,2
